2026-03-06 20:40:10 [INFO] autosecaudit - LLM router enabled: primary=deepseek-reasoner, fallbacks=['openai/deepseek-chat'], default_provider=openai
2026-03-06 20:40:10 [INFO] autosecaudit - [agent] run_start | start | budget=999, max_iterations=10, timeout=1800.0s, resumed=False
2026-03-06 20:40:10 [INFO] autosecaudit - [subdomain_enum_passive] action_start | start | A1 target=0x6288.com
2026-03-06 20:40:12 [INFO] autosecaudit - [subdomain_enum_passive] action_end | success | A1 status=completed duration_ms=1842
2026-03-06 20:40:12 [INFO] autosecaudit - [nmap_scan] action_start | start | A2 target=0x6288.com
2026-03-06 20:40:28 [INFO] autosecaudit - [nmap_scan] action_end | success | A2 status=completed duration_ms=15642
2026-03-06 20:40:28 [INFO] autosecaudit - [dns_zone_audit] action_start | start | A3 target=0x6288.com
2026-03-06 20:40:28 [INFO] autosecaudit - [dns_zone_audit] action_end | success | A3 status=completed duration_ms=5
2026-03-06 20:40:29 [INFO] autosecaudit - [passive_config_audit] action_start | start | A1 target=https://0x6288.com:443
2026-03-06 20:40:39 [INFO] autosecaudit - [passive_config_audit] action_end | success | A1 status=completed duration_ms=10182
2026-03-06 20:40:39 [INFO] autosecaudit - [tech_stack_fingerprint] action_start | start | A2 target=https://0x6288.com:443/
2026-03-06 20:40:40 [INFO] autosecaudit - [tech_stack_fingerprint] action_end | success | A2 status=completed duration_ms=806
2026-03-06 20:40:40 [INFO] autosecaudit - [git_exposure_check] action_start | start | A3 target=https://0x6288.com:443/
2026-03-06 20:40:44 [INFO] autosecaudit - [git_exposure_check] action_end | success | A3 status=completed duration_ms=3993
2026-03-06 20:40:44 [INFO] autosecaudit - [source_map_detector] action_start | start | A4 target=https://0x6288.com:443/
2026-03-06 20:40:47 [INFO] autosecaudit - [source_map_detector] action_end | success | A4 status=completed duration_ms=3724
2026-03-06 20:40:47 [INFO] autosecaudit - [security_txt_check] action_start | start | A5 target=https://0x6288.com:443/
2026-03-06 20:40:48 [INFO] autosecaudit - [security_txt_check] action_end | success | A5 status=completed duration_ms=846
2026-03-06 20:40:48 [INFO] autosecaudit - [login_form_detector] action_start | start | A6 target=https://0x6288.com:443/
2026-03-06 20:40:50 [INFO] autosecaudit - [login_form_detector] action_end | success | A6 status=completed duration_ms=1140
2026-03-06 20:40:50 [INFO] autosecaudit - [http_security_headers] action_start | start | A7 target=https://0x6288.com:443/
2026-03-06 20:40:51 [INFO] autosecaudit - [http_security_headers] action_end | success | A7 status=completed duration_ms=1073
2026-03-06 20:40:51 [INFO] autosecaudit - [ssl_expiry_check] action_start | start | A8 target=https://0x6288.com:443/
2026-03-06 20:40:52 [INFO] autosecaudit - [ssl_expiry_check] action_end | success | A8 status=completed duration_ms=1379
2026-03-06 20:40:52 [INFO] autosecaudit - [js_endpoint_extractor] action_start | start | A9 target=https://0x6288.com:443/
2026-03-06 20:40:53 [INFO] autosecaudit - [js_endpoint_extractor] action_end | success | A9 status=completed duration_ms=795
2026-03-06 20:40:53 [INFO] autosecaudit - [reverse_dns_probe] action_start | start | A10 target=0x6288.com
2026-03-06 20:41:09 [INFO] autosecaudit - [reverse_dns_probe] action_end | success | A10 status=completed duration_ms=16009
