2026-03-05 01:15:31 [INFO] autosecaudit - LLM router enabled: primary=deepseek-reasoner, fallbacks=['openai/deepseek-chat'], default_provider=openai
2026-03-05 01:21:07 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=35129
2026-03-05 01:21:07 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A2 target=https://edu.360-24.com:8443/
2026-03-05 01:21:18 [INFO] autosecaudit - [dynamic_crawl] action_end | success | A2 status=completed duration_ms=10752
2026-03-05 01:21:18 [INFO] autosecaudit - [active_web_crawler] action_start | start | A3 target=https://edu.360-24.com:8443/
2026-03-05 01:21:28 [INFO] autosecaudit - [active_web_crawler] action_end | success | A3 status=completed duration_ms=10656
2026-03-05 01:21:28 [INFO] autosecaudit - [dirsearch_scan] action_start | start | A4 target=https://edu.360-24.com:8443
2026-03-05 01:21:39 [INFO] autosecaudit - [dirsearch_scan] action_end | success | A4 status=completed duration_ms=10514
2026-03-05 01:21:39 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=http://edu.360-24.com:8080/
2026-03-05 01:22:14 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=35056
2026-03-05 01:22:14 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A2 target=http://edu.360-24.com:8080/
2026-03-05 01:22:20 [INFO] autosecaudit - [dynamic_crawl] action_end | success | A2 status=completed duration_ms=5687
2026-03-05 01:22:20 [INFO] autosecaudit - [active_web_crawler] action_start | start | A3 target=http://edu.360-24.com:8080/
2026-03-05 01:22:25 [INFO] autosecaudit - [active_web_crawler] action_end | success | A3 status=completed duration_ms=5652
2026-03-05 01:22:25 [INFO] autosecaudit - [dirsearch_scan] action_start | start | A4 target=http://edu.360-24.com:8080
2026-03-05 01:22:36 [INFO] autosecaudit - [dirsearch_scan] action_end | success | A4 status=completed duration_ms=10510
2026-03-05 01:22:36 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=http://edu.360-24.com:8000/
2026-03-05 01:23:11 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=35054
2026-03-05 01:23:11 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A2 target=http://edu.360-24.com:8000/
2026-03-05 01:23:17 [INFO] autosecaudit - [dynamic_crawl] action_end | success | A2 status=completed duration_ms=5695
2026-03-05 01:23:17 [INFO] autosecaudit - [active_web_crawler] action_start | start | A3 target=http://edu.360-24.com:8000/
2026-03-05 01:23:22 [INFO] autosecaudit - [active_web_crawler] action_end | success | A3 status=completed duration_ms=5666
2026-03-05 01:23:22 [INFO] autosecaudit - [dirsearch_scan] action_start | start | A4 target=http://edu.360-24.com:8000
2026-03-05 01:23:33 [INFO] autosecaudit - [dirsearch_scan] action_end | success | A4 status=completed duration_ms=10491
2026-03-05 01:23:33 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=http://edu.360-24.com:8008/
2026-03-05 01:24:08 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=35054
2026-03-05 01:24:08 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A2 target=http://edu.360-24.com:8008/
2026-03-05 01:24:14 [INFO] autosecaudit - [dynamic_crawl] action_end | success | A2 status=completed duration_ms=5689
2026-03-05 01:24:14 [INFO] autosecaudit - [active_web_crawler] action_start | start | A3 target=http://edu.360-24.com:8008/
2026-03-05 01:24:19 [INFO] autosecaudit - [active_web_crawler] action_end | success | A3 status=completed duration_ms=5664
2026-03-05 01:24:19 [INFO] autosecaudit - [dirsearch_scan] action_start | start | A4 target=http://edu.360-24.com:8008
2026-03-05 01:24:30 [INFO] autosecaudit - [dirsearch_scan] action_end | success | A4 status=completed duration_ms=10528
2026-03-05 01:24:30 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=http://edu.360-24.com:8888/
2026-03-05 01:25:05 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=35055
2026-03-05 01:25:05 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A2 target=http://edu.360-24.com:8888/
2026-03-05 01:25:11 [INFO] autosecaudit - [dynamic_crawl] action_end | success | A2 status=completed duration_ms=5682
2026-03-05 01:25:11 [INFO] autosecaudit - [active_web_crawler] action_start | start | A3 target=http://edu.360-24.com:8888/
2026-03-05 01:25:16 [INFO] autosecaudit - [active_web_crawler] action_end | success | A3 status=completed duration_ms=5678
2026-03-05 01:25:16 [INFO] autosecaudit - [dirsearch_scan] action_start | start | A4 target=http://edu.360-24.com:8888
2026-03-05 01:25:27 [INFO] autosecaudit - [dirsearch_scan] action_end | success | A4 status=completed duration_ms=10494
2026-03-05 01:25:27 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=http://edu.360-24.com:3128/
2026-03-05 01:26:02 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=35056
2026-03-05 01:26:02 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A2 target=http://edu.360-24.com:3128/
2026-03-05 01:26:08 [INFO] autosecaudit - [dynamic_crawl] action_end | success | A2 status=completed duration_ms=5701
2026-03-05 01:26:08 [INFO] autosecaudit - [active_web_crawler] action_start | start | A3 target=http://edu.360-24.com:3128/
2026-03-05 01:26:13 [INFO] autosecaudit - [active_web_crawler] action_end | success | A3 status=completed duration_ms=5671
2026-03-05 01:26:13 [INFO] autosecaudit - [agent] run_end | success | history=48, findings=3
2026-03-05 01:26:13 [INFO] autosecaudit - Agent decision summary: [phase:active_discovery] Proposed 3 safe action(s), total estimated cost 28, remaining budget after plan 5.
2026-03-05 01:26:13 [INFO] autosecaudit - Action plan: /workspace/output/web-jobs/job-20260305-011531-001-edu.360-24.com/agent/ActionPlan.json
2026-03-05 01:26:13 [INFO] autosecaudit - History: /workspace/output/web-jobs/job-20260305-011531-001-edu.360-24.com/agent/agent_history.json
2026-03-05 01:26:13 [INFO] autosecaudit - State: /workspace/output/web-jobs/job-20260305-011531-001-edu.360-24.com/agent/agent_state.json
2026-03-05 01:26:13 [INFO] autosecaudit - Blocked actions: /workspace/output/web-jobs/job-20260305-011531-001-edu.360-24.com/agent/blocked_actions.json
2026-03-05 01:26:13 [INFO] autosecaudit - Artifact index: /workspace/output/web-jobs/job-20260305-011531-001-edu.360-24.com/agent/artifact_index.json
2026-03-05 01:26:13 [INFO] autosecaudit - Markdown report: /workspace/output/web-jobs/job-20260305-011531-001-edu.360-24.com/agent/agent_report.md
2026-03-05 01:26:13 [INFO] autosecaudit - HTML visual report: /workspace/output/web-jobs/job-20260305-011531-001-edu.360-24.com/agent/agent_report.html
2026-03-05 01:26:13 [INFO] autosecaudit - Findings: 3, Budget remaining: 645
2026-03-05 01:26:13 [INFO] autosecaudit - Resumed: False, Resumed from: None
